2026-04-28 16:50:27,418 | INFO | Pipeline khởi động.
2026-04-28 16:51:40,874 | INFO | ==================================================
2026-04-28 16:51:40,875 | INFO | PIPELINE BẮT ĐẦU
2026-04-28 16:51:40,875 | INFO | ==================================================
2026-04-28 16:51:40,876 | INFO | [EXTRACT] Đọc file: olist_sales.csv
2026-04-28 16:51:42,183 | INFO | [EXTRACT] Xong — shape: (113390, 39)
2026-04-28 16:51:42,184 | INFO | [VALIDATE] Bắt đầu...
2026-04-28 16:51:48,401 | INFO | [VALIDATE] Hợp lệ: 113,390/113,390 (100.0%)
2026-04-28 16:51:48,403 | INFO | [TRANSFORM] Input: (113390, 39)
2026-04-28 16:51:48,505 | INFO | [TRANSFORM] Dedup xóa: 14,612 dòng
2026-04-28 16:51:48,545 | INFO | [TRANSFORM] Output: (98778, 40)
2026-04-28 16:51:48,557 | INFO | [OUTLIER] 'price': 1,775 outliers
2026-04-28 16:51:48,602 | INFO | [TOP_STATES] shape: (10, 3)
2026-04-28 16:51:48,629 | INFO | [GROWTH] 22 tháng
2026-04-28 16:51:48,636 | INFO | [LOAD] Ghi: top_states_revenue.parquet
2026-04-28 16:51:48,657 | INFO | [LOAD] ✅ top_states_revenue.parquet (10 rows, 2.5 KB)
2026-04-28 16:51:48,658 | INFO | [LOAD] Ghi: monthly_growth.parquet
2026-04-28 16:51:48,663 | INFO | [LOAD] ✅ monthly_growth.parquet (22 rows, 3.5 KB)
2026-04-28 16:51:48,663 | INFO | PIPELINE HOÀN THÀNH ✅
2026-05-07 23:02:25,903 | INFO | ==================================================
2026-05-07 23:02:25,904 | INFO | PIPELINE BẮT ĐẦU
2026-05-07 23:02:25,904 | INFO | ==================================================
2026-05-07 23:02:25,904 | INFO | [EXTRACT] Đọc file: olist_sales.csv
2026-05-07 23:02:26,960 | INFO | [EXTRACT] Xong — shape: (113390, 39)
2026-05-07 23:02:26,960 | INFO | [VALIDATE] Bắt đầu...
2026-05-07 23:02:28,116 | INFO | [VALIDATE] Hợp lệ: 113,390/113,390 (100.0%)
2026-05-07 23:02:28,125 | INFO | [TRANSFORM] Input: (113390, 39)
2026-05-07 23:02:28,203 | INFO | [TRANSFORM] Dedup xóa: 14,612 dòng
2026-05-07 23:02:28,228 | INFO | [TRANSFORM] Output: (98778, 40)
2026-05-07 23:02:28,237 | INFO | [OUTLIER] 'price': 1,775 outliers
2026-05-07 23:02:28,273 | INFO | [TOP_STATES] shape: (10, 3)
2026-05-07 23:02:28,294 | INFO | [GROWTH] 22 tháng
2026-05-07 23:02:28,294 | INFO | [LOAD] Ghi: top_states_revenue.parquet
2026-05-07 23:02:28,314 | INFO | [LOAD] ✅ top_states_revenue.parquet (10 rows, 2.5 KB)
2026-05-07 23:02:28,314 | INFO | [LOAD] Ghi: monthly_growth.parquet
2026-05-07 23:02:28,315 | INFO | [LOAD] ✅ monthly_growth.parquet (22 rows, 3.5 KB)
2026-05-07 23:02:28,316 | INFO | PIPELINE HOÀN THÀNH ✅
2026-05-07 23:02:28,316 | INFO | ==================================================
